Subj_ID,Age_group,Condition_Freq,Condition_ISI,Trial_Global,Standard_Hz,Comparison_Hz,Delta_Hz,RT_ms,Accuracy,Reversal
10,O,500,1000,2,500,520,20,2365,1,0
10,O,500,1000,7,500,520,20,2496,1,0
10,O,500,1000,8,500,516,16,3182,1,0
10,O,500,1000,11,500,516,16,2943,1,0
10,O,500,1000,41,500,516,16,2738,1,0
10,O,500,1000,42,500,516,16,4214,1,1
10,O,500,1000,52,500,514,14,2627,1,0
10,O,500,1000,56,500,514,14,3062,1,1
10,O,500,1000,51,500,513,13,2376,0,0
10,O,500,1000,60,500,513,13,2942,1,0
10,O,500,1000,12,500,512,12,2047,1,0
10,O,500,1000,17,500,512,12,1821,1,0
10,O,500,1000,34,500,512,12,2685,0,0
10,O,500,1000,45,500,512,12,3313,0,1
10,O,500,1000,25,500,508,8,4542,0,1
10,O,500,100,3,500,520,20,4373,1,0
10,O,500,100,4,500,520,20,1970,1,0
10,O,500,100,5,500,516,16,3603,1,0
10,O,500,100,6,500,516,16,2625,1,0
10,O,500,100,9,500,512,12,2256,1,0
10,O,500,100,16,500,512,12,3197,1,0
10,O,500,100,22,500,512,12,3010,1,0
10,O,500,100,24,500,512,12,3035,1,1
10,O,500,100,20,500,508,8,3955,0,1
10,O,500,100,31,500,508,8,3153,1,0
10,O,500,100,39,500,508,8,3753,1,0
10,O,500,100,46,500,507,7,2636,1,0
10,O,500,100,48,500,507,7,4644,1,0
10,O,500,100,55,500,506,6,4035,1,0
10,O,500,100,58,500,506,6,3896,1,0
10,O,3000,1000,10,3000,3096,96,2058,1,0
10,O,3000,1000,13,3000,3096,96,2936,1,1
10,O,3000,1000,1,3000,3080,80,3093,0,0
10,O,3000,1000,14,3000,3080,80,3800,1,0
10,O,3000,1000,15,3000,3080,80,1893,1,0
10,O,3000,1000,33,3000,3080,80,2065,1,0
10,O,3000,1000,35,3000,3080,80,1537,1,1
10,O,3000,1000,53,3000,3080,80,2178,1,0
10,O,3000,1000,54,3000,3080,80,3016,1,1
10,O,3000,1000,38,3000,3076,76,2962,1,0
10,O,3000,1000,49,3000,3076,76,2766,0,1
10,O,3000,1000,57,3000,3076,76,1618,1,0
10,O,3000,1000,59,3000,3076,76,1520,1,0
10,O,3000,1000,26,3000,3064,64,2946,1,0
10,O,3000,1000,32,3000,3064,64,2812,0,1
10,O,3000,100,36,3000,3104,104,2271,1,0
10,O,3000,100,37,3000,3104,104,3413,1,1
10,O,3000,100,29,3000,3100,100,2304,1,0
10,O,3000,100,30,3000,3100,100,3360,0,0
10,O,3000,100,40,3000,3100,100,3201,1,0
10,O,3000,100,43,3000,3100,100,2061,1,0
10,O,3000,100,19,3000,3096,96,3036,1,0
10,O,3000,100,21,3000,3096,96,2426,1,1
10,O,3000,100,27,3000,3096,96,1899,1,0
10,O,3000,100,28,3000,3096,96,3204,0,0
10,O,3000,100,44,3000,3096,96,2197,1,0
10,O,3000,100,47,3000,3096,96,1895,1,0
10,O,3000,100,50,3000,3092,92,3096,0,1
10,O,3000,100,18,3000,3080,80,2567,0,0
10,O,3000,100,23,3000,3080,80,2231,0,1
